Time,No. Steps,Total Reward,final_position,Episode Length
Time,No. Steps,Total Reward,final_position,Episode Length
0.015628576278686523,188,-12.744999999999848,0.0,400
0.0,4673,55.289999999999935,0.09933565327428029,91
Time,No. Steps,Total Reward,final_position,Episode Length
0.0050008296966552734,50,55.289999999999935,0.09933565327428029,91
0.004996061325073242,6675,55.289999999999935,0.09933565327428029,91
0.0060176849365234375,13420,55.289999999999935,0.09933565327428029,91
Time,No. Steps,Total Reward,final_position,Episode Length
0.015623331069946289,50,55.289999999999935,0.09933565327428029,91
Time,No. Steps,Total Reward,final_position,Episode Length
Time,No. Steps,Total Reward,final_position,Episode Length
0.013014078140258789,50,55.289999999999935,0.09933565327428029,91
